Id,Name,Genre,Platform_y,Publisher_y,Critic_Score,Year,RAWG Score,Description
54,Call of Duty: Black Ops,Shooter,X360,Activision,8.8,2010.0,4.0,"Call of Duty: Black Ops is a first-person shooter, a seventh installment in the series altogether and a sequel to Call of Duty: World at War. The game takes place during the Cold War and shows different historical periods of it.<br />
The main character is a CIA agent, set out on different classified missions and tasked with eliminating enemies if needed. The story in the game is complicated, featuring characters from the previous games, and historical figures like JFK and Fidel Castro. Despite its emphasis on the scenario and real-world plausibility, Black Ops doesn’t lack in gameplay terms, as the combat system is, as established in series, extensive and realistic. The graphics are made for the player’s highest level of entertainment, with massive special effects and excellent quality of every detail.<br />
Call of Duty: Black Ops features a trademark multiplayer system, with different game modes, competitive play, and cooperative maps. The players can earn ranks for their performance, unlock new customizable weapons and different perks for use in the upcoming battles."
56,Halo 3,Shooter,X360,Microsoft Game Studios,9.6,2007.0,4.32,"Halo 3 is a first-person shooter from Bungie and another installment in one of the most popular gaming universes. The third part of the franchise completes the story begun in Halo: Combat Evolved.
The action takes place in years 2552-53, in which humanity colonized the distant boundaries of the universe and met the aliens The Covenant. As a result of the conflict, a war begins between two species. Play as the Master Chief, who suffers a crash in eastern Africa. He is found by his allies Johnson and the Arbiter and together they are sent to repel the alien aggressors.
Halo 3 is a traditional first-person shooter, with a well-designed game world and mythology. The series is known for its multiplayer, which many consider the best in the genre. Matches can fit up to 16 people, who fight in several game modes. They are a variation on the Deathmatch and Capture the Flag modes. In addition to multiplayer battles, players can go through the campaign together with 3 friends in a cooperative mode."
58,Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games,9.8,2018.0,4.54,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. 
After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.
From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age."
59,Call of Duty: Black Ops II,Shooter,X360,Activision,,2012.0,3.89,"Call of Duty: Black Ops II is a first-person shooter, a direct sequel to Call of Duty: Black Ops that features its protagonists. The story is divided into two time periods. It starts in 1986 with Alex Mason that has to return to work after his retirement to catch Raul Menendez, responsible for multiple crimes. The second storyline takes place in 2025; you play as David, Mason’s son, who also needs to find Menendez who sparks the second Cold War. The game has several endings depending on your actions in both storylines.<br />
The campaign mode in Black Ops II is also selected in two parts. There are story missions, where you can make decisions that will affect the future of the characters. Additionally, Strike Force missions, available in 2025, feature permanent death - if the character is killed, you can’t return to the checkpoint, and have to continue the game without them.<br />
Like two previous games in the series, Black Ops II has the Zombies mode with a completely new story. It starts with nuclear experiments in 2025 Nevada that cause the appearance of zombies."
61,Call of Duty: Modern Warfare 2,Shooter,X360,Activision,9.5,2009.0,4.25,"Continuation of the sensational first-person shooter from Infinity Ward and Activision. It is rather difficult to maintain a high level of games every year, but it worked out in the sixth part of the series. The game continues the storyline of the previous part.
The game consists of numerous fast-paced gunfights. Classic hit points are not here anymore - after receiving damage, the player only needs to sit tight in safety waiting for health to come back. There are three game modes: the story campaign, multiplayer and Spec Ops. 
If there are almost no changes in the campaign, and this is the same linear story, the Spec Ops includes 23 new levels for single or cooperative completion. Each level is a new task, a new challenge whether it is the defusing a bomb or the elimination of enemy forces. Levels are divided into tiers by their complexity.
As in any other game of the series, the multiplayer in Modern Warfare 2 takes a special place. Each match is a mission, for which you need to come up with new strategies to complete. As in the past, new weapons and perks are opened for the execution of tasks."
62,Call of Duty: WWII,Shooter,PS4,Activision,8.0,2017.0,3.47,"Includes Digital Edition Bonus Content: 1,100 Call of Duty Points*<br />
PRE-ORDER AND GET:<br />
- Multiplayer Upgrade (Weapon Unlock + 2XP)</strong><br />
- Zombies Camo***<br />
- Divisions Pack<br />
Call of Duty® returns to its roots with Call of Duty®: WWII - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in history’s most monumental war. Experience classic Call of Duty combat, the bonds of camaraderie, and the unforgiving nature of war against a global power throwing the world into tyranny.<br />
Call of Duty®: WWII creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty® story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments."
64,New Super Mario Bros. 2,Platform,3DS,Nintendo,7.5,2012.0,3.73,"Bowser has once again kidnapped Princess Peach, but this time, Mario has<br />
another objective. The Mushroom Kingdom is bursting with more gold coins<br />
than before. Each level is littered with gold as coins rain down from<br />
overhead pipes, trails of coins are left behind special gold enemies and<br />
gold pipes transport Mario into coin-filled caverns. It&#39;s up to players<br />
to collect as many coins as possible throughout their adventure.
FEATURES:
The game records all the coins players collect throughout the game, so<br />
completing a level is only part of the fun. Every level is filled with<br />
golden opportunities, such as gold rings that turn enemies into<br />
valuable gold versions and a Gold Flower that gives Mario the ability<br />
to turn almost anything in his path into coins.
Coin Rush Mode allows players to collect as many coins as possible<br />
across three levels and challenge friends to beat their record via<br />
StreetPass.
New Super Mario Bros. 2 is an all-new side-scrolling adventure game<br />
featuring Mario and Luigi. Two players who each own the game will have<br />
the option to play the entire game in two-player multiplayer mode<br />
using local wireless.
The return of Raccoon Mario gives Mario the ability to fly and access<br />
hidden areas.
Players will have the option to either purchase the game at retail<br />
stores or download the entire game through the Nintendo eShop.
In-game content available for purchase using stored account funds."
65,Super Smash Bros. Brawl,Fighting,Wii,Nintendo,9.2,2008.0,4.29,"Super Smash Bros. Brawl is a crossover platform fighting game for the Nintendo Wii published by Nintendo in 2008 and the third entry in the Super Smash Bros. series. It was developed by an ad hoc development team consisting of staff from Sora Ltd, GAME ARTS, Monolith Soft, HAL Laboratory and Paon.
Like the two precedent instalments, the game features characters, locations and items from various Nintendo video game franchises such as Mario, The Legend of Zelda or Kirby. However, Brawl is the first game to include characters from third-party franchises, such as Sonic the Hedgehog or Solid Snake from the Metal Gear series. 
The Smash Bros. series is notable among fighting games for its unorthodox gameplay. A game takes place on a stage that could be compared to a platform game level. Instead of a health bar, damage is represented by a percentage. When a player hits another, the victim&#39;s percentage increases. The higher the percentage, the further a player will be knocked away when hit. The goal is to knock other players out of the screen using a varied set of moves. Two to four players can fight at the same time, either in a free-for-all match or a team battle. Special rulesets also allow for different win conditions.
Items randomly appear around the stage and can be picked up and used by fighters to aid in combat. These include food that heals the user, various weapons such as laser swords or firework launchers, or even Pokéballs containing powerful Pokémon. Brawl also introduces Assist Trophies, items that allow one to summon characters from various franchises to fight for them temporarily, as well as Smash Balls, which, when broken, allow a fighter to unleash their ultimate attack on their opponents. The game also supports custom rulesets, allowing players to disable items if they wish.
Brawl is the first game in the series to include a complete single-player story campaign, named the Subspace Emissary. It features all the playable characters in the midst of a conflict against a mysterious entity looking to collect pieces of their world for an unknown reason. The player fights hoards of enemies throughout a multitude of platforming levels. It was also the first game to allow online play with friends or random players. This feature is no longer available due to the discontinuation of the Wii&#39;s online service in May 2014
Super Smash Bros. Brawl was praised by the critic for its fun and easy to learn gameplay, its sheer density and the attention put into the representation of its featured franchises. However, it left many fans of the series, particularly its competitive aspect, disappointed. The changes made to the gameplay from Melee considerably slowed the pace of the game and severe balance issues existed, which resulted in the game&#39;s competitive scene becoming inactive early in its life. To fix these issues, players resorted to modding. Among the various mods that were created was Project M, a mod that, at first, aimed to make Brawl feel more like its predecessor Melee, and later grew to become much more distinct from any game in the series. Project M gathered a decently sized competitive scene to the point where it was played at major tournaments along with the official games, but its development eventually shut down in 2015.
Despite this, Brawl is the eight best-selling game on the Wii, having sold 13.29 million units as of March 2018. It is often considered to be the best Smash Bros. game for casual play or single-player."
66,Marvel's Spider-Man,Action-Adventure,PS4,Sony Interactive Entertainment,9.1,2018.0,4.43,"Marvel&#39;s Spider-Man offers the player to take on the role of the most famous Marvel superhero.
<h3>Plot</h3>
The game introduces Spider-Man as an already experienced superhero. By the time the game begins, Peter has captured the infamous Kingpin as well as several other supervillains. Now, a gang that goes by the name of Demons poses a new danger to New York. Meanwhile, Peter is working for the scientist Otto Octavius, who didn&#39;t yet become Dr. Octopus, on their science project. Throughout the game, Spidey has to deal with multiple enemies, such as Norman Osbourne, Electro, Vulture, Rhino and Kingpin, among others.
<h3>Gameplay</h3>
The player controls Peter Parker, aka Spider-Man, from the third person view. There are also sections of the game in which the player controls other protagonists, namely Mary Jane and Miles Morales. The game is set in a 3D environment that is modeled after New York City. The player can travel the city using web slings, running, jumping, and crawling the walls. The setting includes numerous high-rise buildings designed specifically for Spider-Man&#39;s movements.
As the player progresses, he or she unlocks new suits that grant Spider-Man new abilities, such as additional attacks or enhanced Spider-Sense. The abilities are not tied to the suits, however, and the player can use the suit of his or her choice without losing the ability. The combat system is similar to that in Batman: Arkham, in that Spider-Man fights many opponents in hand-to-hand combat but avoids killing them."
67,Grand Theft Auto III,Action,PS2,Rockstar Games,9.5,2001.0,4.18,"Grand Theft Auto III is an open-world action game, a part of the criminal franchise GTA. As the first in the series 3D game with high-quality textures, GTA III became exemplary in its genre. 
The action is located in fictional Liberty City. Its map is divided into three parts – each becomes available gradually, depending on the storyline progress. The player takes control of the character from the third-person view. 
The classic feature of GTA III is the ability to interact with the world: explore the map either on foot or by car, contact with other characters, visit weapon stores and shoot everywhere. Although GTA III is another chapter of the franchise, its plot is unique. 
The story begins with the dynamic bank robbery. During the heist scene, the main character (silent and unnamed for the whole game) gets betrayed by his accomplice Catalina. By good fortune, the protagonist escapes from imprisonment and starts making both ends meet in Liberty City after being deceived. Therefore, his only wish – also the main idea of the storyline – to take the revenge on the former partner."
68,Portal 2,Shooter,PC,Valve,9.7,2011.0,4.6,"Portal 2 is a first-person puzzle game developed by Valve Corporation and released on April 19, 2011 on Steam, PS3 and Xbox 360. It was published by Valve Corporation in digital form and by Electronic Arts in physical form. 
Its plot directly follows the first game&#39;s, taking place in the Half-Life universe. You play as Chell, a test subject in a research facility formerly ran by the company Aperture Science, but taken over by an evil AI that turned upon its creators, GladOS. After defeating GladOS at the end of the first game but failing to escape the facility, Chell is woken up from a stasis chamber by an AI personality core, Wheatley, as the unkempt complex is falling apart. As the two attempt to navigate through the ruins and escape, they stumble upon GladOS, and accidentally re-activate her...
Portal 2&#39;s core mechanics are very similar to the first game&#39;s ; the player must make their way through several test chambers which involve puzzles. For this purpose, they possess a Portal Gun, a weapon capable of creating teleportation portals on white surfaces. This seemingly simple mechanic and its subtleties coupled with the many different puzzle elements that can appear in puzzles allows the game to be easy to start playing, yet still feature profound gameplay. The sequel adds several new puzzle elements, such as gel that can render surfaces bouncy or allow you to accelerate when running on them.
The game is often praised for its gameplay, its memorable dialogue and writing and its aesthetic. Both games in the series are responsible for inspiring most puzzle games succeeding them, particularly first-person puzzle games. The series, its characters and even its items such as the portal gun and the companion cube have become a cultural icon within gaming communities.
Portal 2 also features a co-op mode where two players take on the roles of robots being led through tests by GladOS, as well as an in-depth level editor."
69,Dead Rising,Action,X360,Capcom,8.4,2006.0,3.69,"Dead Rising was a specific iteration of an open world action horror game that is considered to be a beat ‘em up. The difference is that it’s a zombie survival with horror elements and crafting mechanics. The protagonist, Frank West, is sneaking into the Willamette to gather information on the reasons why is it being sealed by the National Guard. After landing on the roof of the big shopping mall, Frank asks the pilot to pick him up in 72 hours. Inside Frank learns of a massive zombie outbreak, and a threat of it nationwide infestation.<br />
In order to complete missions, the player will have to explore the shopping mall and fend off the zombies. Frank has access to more than 250 items that can be used as weapons, ranging from low to high damage. Some of the weapons might have environmental properties, like being heated on the open fire. All weapons can be used a limited amount of times in order to make the player explore and search for random encounters, with struggling survivors that need saving, or “psychopaths” that act as mini-bosses. The game uses RPG elements, where the player earns Prestige Points that can be spent to improve skills and attributes. As a photographer, Frank has a camera that can be used to take pictures, that are rated and their rating score is converted into the Prestige Points."
71,Super Mario Galaxy,Platform,Wii,Nintendo,9.7,2007.0,4.3,"Become Mario as he traverses gravity-bending galaxies, traveling in and out of gravitational fields by blasting from planet to planet. Control Mario with the Wii Remote™ and Nunchuk™. Power-up to reach inaccessible areas. Collect Star Bits to either stun enemies or feed Lumas."
74,Super Mario 3D Land,Platform,3DS,Nintendo,8.9,2011.0,4.2,"Super Mario 3D Land reinvents everything fans love about Mario™ gaming<br />
with the first platforming environment in true 3D, without the need for<br />
special glasses Players will experience an exhilarating new sense of<br />
depth, distance and speed while running, jumping and stomping on enemies<br />
throughout the levels.
Tanooki Mario returns! The fan-favorite Tanooki suit makes its first<br />
appearance on the Nintendo 3DS. Use the Tanooki suit’s tail to attack<br />
enemies or float gently down from great heights. These abilities help<br />
players move through the 3D environments with more confidence.
3D visuals make it easier for players to judge the depths and<br />
distances in their environments. Players can more accurately judge the<br />
jump to the next platform or how far Mario is from a question block.
New and familiar abilities add unique game-play strategies to the<br />
adventure. Mario can perform a rolling somersault attack or run fast<br />
with a dash move.
The Circle Pad gives players complete control to confidently move<br />
Mario through fun and challenging environments.
New enemies include Goombas with tails, tall stacks of Goombas and a<br />
Piranha Plant that spits ink to obscure a player’s view."
76,Animal Crossing: New Leaf,Simulation,3DS,Nintendo,8.6,2013.0,4.34,"Animal Crossing: New Leaf is a life simulation video game released in 2012 for the Nintendo 3DS. The player takes on the role of mayor of a new town, and with the help of the townsfolk and Isabelle, an eager secretary, it will be their job to make the town a better place to live."
77,Diablo III,Role-Playing,PC,Blizzard Entertainment,9.0,2012.0,4.09,"The third Diablo returns you to the world of Sanctuary, once again invaded by the demons. Twenty years after the ending of Diablo II, a star has fallen on the city of New Tristram, spawning hordes of undead monsters that the player must defeat. As usual in Diablo series, the game has a trademark dark fantasy atmosphere and is mostly set in gloomy dungeons.<br />
The basic gameplay features are the same as in previous Diablo games, but there are many subtle changes. The player can choose one of six character classes (a seventh is available with an expansion). Each class has its unique abilities and class-specific quests. Unlike its predecessors, which used isometric 2D graphics, Diablo III uses 3D, however, it preserves the familiar top-down view. The dungeons are randomly generated and have destructible environments, thanks to the new graphics engine. There’s a new mechanic Skill Runes that is used to improve the character’s skills.<br />
Online multiplayer is available through Battle.net. There are both a co-op mode and a PvP mode called Brawling. The players can create hardcore characters who face permadeath if killed. Even in the single-player mode, Diablo II requires a stable internet connection, because of DRM restrictions."
79,Gran Turismo 5,Racing,PS3,Sony Computer Entertainment,8.3,2010.0,4.07,"Gran Turismo 5 is the fifth part of the Gran Turismo series.
The games of the series are known for a detailed imitation of driving real cars. Each machine in the game is controlled and even sounds like its real prototype.
In addition to the characteristics of each model of the car, tuning is possible in the game. Tuning, as well as the acquisition of more and more powerful cars, becomes available as a result of victories in races, obtaining prize money and improving the skill of the driver. The upgrades acquired in the tuning process are as realistic as the basic qualities of the car.
Many of the car systems that can be tuned in real life can be customized in the game - and the consequences for the behavior of the car in the game will also be shown very realistically. For example, suspension settings affect handling.
The main mode of the game is arcade. But there is also a simulation mode that conducts the player through a series of races, constantly complicating the conditions and giving the player a chance to smoothly master the game, increase skill, earn game money for increasing the number of cars and other needs.<br />
In Gran Turismo 5 there are 1031 cars, 26 locations and 71 variations of tracks. In addition, for the first time the editor of the tracks appeared in the game."
80,Super Mario 64,Platform,N64,Nintendo,9.7,1996.0,4.37,"Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It&#39;s packed with bruising battles, daunting obstacle courses and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch nemesis - Bowser, King of the Koopas!"
81,FIFA 18,Sports,PS4,EA Sports,8.3,2017.0,3.44,"FIFA 18 is the 25th instalment in the FIFA series and this one has Real Madrid player Cristiano Ronaldo on the cover of regular game edition. Ronaldo Nazario appears on the Icon edition of the game. FIFA 18 is the second game in FIFA series that uses Frostbite 3 engine yet some versions of FIFA 18 uses different game engine. Versions for PlayStation 4, Microsoft Windows and Xbox One include a single-player story driven mode called The Journey which is the continuation of the mod The Journey: Hunter Returns from the FIFA 17. Version for PlayStation 3 and Xbox 360 called FIFA 18: Legacy Edition do not include any new gameplay features yet it has updated kits and squads. <br />
FIFA 18 features 52 licensed stadiums from 12 countries, plus 30 generic fields. FIFA 18 has a new version of Ultimate Team Icons which includes legends like Diego Maradona, Pele, Ronaldo, Lev Yashin, Thierry Henry and other well-known players retired like Ronaldinho and Roberto Carlos."
82,The Last of Us Remastered,Action-Adventure,PS4,Sony Computer Entertainment,9.5,2014.0,4.69,"The Last of Us is a post-apocalypse 3rd person adventure with a distinct focus on naturalness and photorealistic graphics. It is the first title in the IP, followed by the second part, coming out in 2019 by Naughty Dog, mostly known for &#39;Crash Bandicoot&#39; and &#39;Uncharted&#39; series.<br />
You play as Joel, delivering small requests in America, the year 2033, precisely 20 years after Cordyceps fungus catastrophe which have turned human hosts into infected shrooms. Your next quest is to deliver 14 years-old Ellie, immune to the virus to the hospital in the other end of a state. It is a usual story of two characters getting along throughout their journey.<br />
You need to fight fungus infected and usual soldiers, patrolling the territory — ammo and health are of the essence here, because it is post-apocalypse and everyone is short of resources. You face multiple encounters with bosses, various traps, and numerous puzzles. Let alone the number of collectibles telling a complete story of an epidemic world."
83,Gran Turismo 4,Racing,PS2,Sony Computer Entertainment,8.7,2005.0,4.24,"It's more than a game. It's a religion. Whether it's for the thrill of speed, the intensity of competition, or the fanaticism in supping up your car, Gran Turismo has captured the essence of the automotive lifestyle and had unleashed the passion between man and machine. As the fourth installment of the worldwide blockbuster-selling Gran Turismo series, Gran Turismo 4 is available exclusively for the PlayStation®2 computer entertainment system. The creative and talented minds of Polyphony Digital, Inc. have once again succeeded in developing the most technologically advanced racing experience ever. Gran Turismo 4 features a truly authentic racing experience spanning 100 years of automotive history. Packed with more cars, courses, and race modes, Gran Turismo 4 delivers enhanced, if not perfected game physics and graphics."
85,Animal Crossing: Wild World,Simulation,DS,Nintendo,8.5,2005.0,4.3,"
      Get ready to start a new life! Whether you want to decorate your home, 
      catch bugs or fish, join in on special events, or just chat with the 
      locals, there's always plenty to do! Accessorize your life with over 600 
      new items. Design constellations, clothes, and flags. Take part in 
      events as the seasons come and go!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
86,Super Mario Land 2: 6 Golden Coins,Platform,GB,Nintendo,9.0,1992.0,4.25,"Super Mario Land 2: 6 Golden Coins is a platforming video game developed and published by Nintendo for the Game Boy, and is the sequel to Super Mario Land, also on the Game Boy. It was released in Japan on October 21, 1992, in North America on November 2, 1992, and in Europe on January 28, 1993. Super Mario Land 2 was created by director Hiroji Kiyotake rather than Mario series creator Shigeru Miyamoto.
In Super Mario Land 2, the player assumes the role of the protagonist Mario, whose main objective is to reclaim his castle, stolen by the antagonist Wario who is the evil doppelganger of Mario. However, the magical seal that Wario placed on the castle entrance can only be undone by collecting the six Golden Coins, which are guarded by Wario's henchmen in various locales of Mario Land. Mario's quest revolves around retrieving each of the golden coins in order to regain access to his castle and defeat Wario. Super Mario Land 2 is notable for its debut of Wario, who later became the protagonist of the spin-off Wario series starting with the game's sequel, Wario Land: Super Mario Land 3."
87,Grand Theft Auto IV,Action,X360,Rockstar Games,10.0,2008.0,4.23,"Every crime story is a story of a search for success. The player will become Niko Bellic, immigrant arriving at the Liberty City to reunite with his cousin Roman and find the man that betrayed him and his army unit fifteen years prior to the events of the game. While protecting his cousin, Niko has to deal with loan sharks, Russian mobsters, and other gangs. After the third game, GTA brought more realism to the player, in order to make the city and its people look more believable. Street vendors on every corner will sell food that replenishes health, bars with playable dart boards, bowling alleys and even comedy clubs and movie theatres. Open world will allow players not only hang out with important NPC in order to receive bonuses and unlocks but taking girls on the dates as well, to help Niko settle. Multiplayer mode allows up to 32 players to explore the copy of the single-player city and initiate multiplayer activities, like races or Deathmatches."
88,Super Mario 64 DS,Platform,DS,Nintendo,8.6,2004.0,4.32,"
      Mario, Luigi, and Wario set out for a party at Princess Peach's castle 
      but arrive to find it empty except for Yoshi. They soon discover that 
      Bowser has stolen the Power Stars and imprisoned the Toads. Enter all of 
      the castle paintings, and save the day! Then try out some action-packed 
      minigames!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
89,God of War (2018),Action,PS4,Sony Interactive Entertainment,9.7,2018.0,4.33,"Unleash the power of the Gods and embark on a merciless quest as Kratos, an ex-Spartan warrior driven to destroy Ares, the God of War. Armed with lethal double chainblades, Kratos must carve through mythology&#39;s darkest creatures including Medusa, Cyclops, the Hydra and more, while solving intricate puzzles in breathtaking environments. Driven by pure revenge, nothing can stop Kratos from achieving absolution."
90,Terraria,Platform,PC,Unknown,8.8,2011.0,3.96,"Terraria is a 2D action adventure sandbox game, where players create a character and gather resources in order to gradually craft stronger weapons and armor. Players create randomly generated maps that contain different locations within it, and by gathering specific resources and triggering special events, players will fight one of the many in-game bosses. Created characters can be played on different maps.<br />
The game introduces hundreds of unique items that can be found across the entirety of the map, some of which may not even be encountered. <br />
Terraria have many different Biomes and areas with distinct visuals, containing resources and enemies unique to this biome. After gathering materials, players can craft furniture, and build settlements and houses, since after completing events or finding specific items NPCs will start to arrive, and will require player’s protection. Terraria can be played on three difficulties and has a large modding community."
91,FIFA 17,Sports,PS4,Electronic Arts,8.9,2016.0,3.27,"Get FIFA 17 Standard Edition now!<br />
Powered by Frostbite, FIFA 17 transforms the way you play, compete, and emotionally connect with the game.<br />
FIFA 17 immerses you in authentic football experiences by leveraging the sophistication of a new game engine, while introducing you to football players full of depth and emotion, and taking you to brand new worlds accessible only in the game. Complete innovation in the way players think and move, physically interact with opponents, and execute in attack lets you own every moment on the pitch.<br />
Additional hardware required for Remote Play.<br />
Use of PSN and SEN account are subject to the Terms of Service and User Agreement and applicable privacy policy (see terms at sonyentertainmentnetwork.com/terms-of-service &amp; sonyentertainmentnetwork.com/privacy-policy).<br />
Online features may be terminated at any time.<br />
*Online multiplayer requires a PlayStation®Plus membership.<br />
1-4 players<br />
Network Players 2-22<br />
44GB minimum save size<br />
DUALSHOCK®4<br />
Remote Play<br />
Online Play (Optional)<br />
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service &amp; playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account.<br />
Conditions and restrictions apply.  See https://www.easports.com/fifa/game-and-offer-disclaimers for details."
92,Gran Turismo,Racing,PS,Sony Computer Entertainment,9.5,1998.0,4.41,"Gran Turismo is a sim racing video game designed by Kazunori Yamauchi. Gran Turismo was developed by Polys Entertainment and published by Sony Computer Entertainment in 1997 for the PlayStation video game console. The game's development group was established as Polyphony Digital in 1998.
After five years of development time, it was well-received publicly and critically, shipping a total of 10.85 million copies worldwide as of March 2013 (making it the best-selling PlayStation game), and scoring an average of 95% in GameRankings' aggregate, making it the highest rated racing video game of all-time. Many publications have deemed it one of the greatest video games of all time. The game has started a series, and has spawned over 10 spin-offs and sequels."
95,Super Mario All-Stars,Platform,SNES,Nintendo,,1993.0,4.33,"Super Mario All-Stars is a collection of previously released Super Mario NES platform games. Each title is presented with its original gameplay and level design, but has been given a makeover in the graphics and sound department. A save option has been added allowing players to store the session data.
Included in Super Mario All-Stars are the following games:
<pre><code>Super Mario Bros.: Mario and Luigi must rescue the Princess and the Mushroom Retainers from the evil King Bowser.

Super Mario Bros.: The Lost Levels: known as Super Mario Bros. 2 in Japan, this game features the same style of gameplay as the original Super Mario Bros. The game contains poison mushrooms, which will shrink or kill Mario, and new and old enemies, such as Flying Bloopers.

Super Mario Bros. 2: also known as Super Mario USA in Japan, Mario and friends discover a mysterious land, called Subcon, that is being destroyed by Wart and his minions. They must rescue this strange land from the tyrant.

Super Mario Bros. 3: Bowser, with the help of his Koopalings, takes over the Mushroom Kingdom&amp;#39;s 7 lands and turns their kings into creatures. It&amp;#39;s now up to Mario and Luigi to save the Mushroom Kingdom
</code></pre>"
96,Call of Duty: Ghosts,Shooter,X360,Activision,6.9,2013.0,3.03,"Call of Duty: Ghosts is the tenth major game in Call of Duty series and the sixth developed by Infinity Ward. The game tells a story about the nuclear destruction of the Middle East in the near future. The game’s main characters are the Ghosts, a force of U.S. Special Operations unit who conducts missions behind enemy lines. The unit is led by U.S. Army Captain Elias Walker, his sons Logan and David Walker but also with Riley, Captain Thomas A. Merrick and Sergeant Keegan p. Russ. The main antagonist of the game is Gabriel Rorke, who was a former leader of Ghosts but now works for the Federation after being brainwashed by it with torture and hallucinogens.<br />
In Call of Duty: Ghosts the player controls not only a character of Logan Walker, but also an astronaut specialist Baker, Logan’s father Elias Walked and Riley – a dog who is the part of Ghosts team in some missions. <br />
The game also features usual multiplayer and Extinction mode which tells a story set in the alternate reality about ancient creatures called Cryptids who want to destroy humanity."
97,Just Dance 3,Misc,Wii,Ubisoft,7.5,2011.0,3.9,"The world's #1 dance game brand is back and now available for the PlayStation®Move! 
<br/><br/>
Just Dance® 3 kick-starts the party with over 45 tracks from multiple genres and popular artists including today’s hottest hits like “Party Rock Anthem” by LMFAO, “California Gurls” by Katy Perry featuring Snoop Dogg, and “Forget You” by Cee Lo Green. Also included are legendary favorites like “I Was Made For Lovin’ You” by Kiss.
<br/><br/>
With a variety of all-new gameplay modes, tracks that allow up to 4 dancers to uniquely shine, and innovative cardio training options, Just Dance® 3 was made to bring the party and keep America dancing!
<br/><br/><br/><br/>
PlayStation®Move motion controller and PlayStation®Eye (sold separately) required to use this product.  
<br/><br/>
Purchase or use of this item is subject to the PlayStation®Network Terms of Service and User Agreement. This item has been sublicensed to you by Sony Computer Entertainment America."
99,Horizon: Zero Dawn,Action,PS4,Sony Interactive Entertainment,9.1,2017.0,4.42,"Beyond the northern mountains, the borderlands of the Banuk tribe challenge all who dare enter to survive the extremes. But now this frozen wilderness harbors a new threat, and for Aloy, a new mystery – one she’s determined to solve.
The Frozen Wilds contains additional content for Horizon Zero Dawn, including new storylines, characters and experiences in a beautiful but unforgiving new area.
·   Uncover a compelling new story.<br />
·   Explore a brand new area<br />
·   Face new machines.<br />
·   To use this download, you must own Horizon Zero Dawn (sold separately).<br />
·   Enhanced for PS4™ Pro with dynamic 4K gaming, improved graphics and environments, and High Dynamic Range visuals*.
Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service &amp; playstationnetwork.com/privacy-policy). One-time license fee for play on account’s designated primary PS4™ system and other PS4™ systems when signed in with that account."
100,Persona,Role-Playing,PS,Atlus,8.1,1996.0,3.13,"Dark, philosophical, and complex, Persona® sets you up in a modern day Japan that has gone into chaos. Demons run free, and you and your team must navigate corruption, mental frailty, and an alternate version of your world to bring your reality back into order.<br />
Offering a second opportunity to experience the beginnings of the acclaimed Persona series, this remake boasts a fully re-localized script, revamped user interface, faster battles, expanded soundtrack, and new in-game movies with voice work added just for the North American release.<br />
The inner selves known as Personas are your key to progressing through the adventure, adding skills and incredible depth to your battle tactics. Expand and improve your collection through the Demon Negotiation system that offers spell cards that you can later fuse into new Personas.<br />
Software subject to license (us.playstation.com/softwarelicense).  Online activity subject to Terms of Services and User Agreement (www.playstationnetwork.com/terms-of-service).<br />"
